economy_code,economy_name,categories_available,categories_required,complete,missing_categories
ABW,Aruba,7,12,false,CP04|CP06|CP09|CP10|CP12
AGO,Angola,7,12,false,CP04|CP06|CP09|CP10|CP12
AIA,Anguilla,7,12,false,CP04|CP06|CP09|CP10|CP12
ALB,Albania,7,12,false,CP04|CP06|CP09|CP10|CP12
ARE,United Arab Emirates,7,12,false,CP04|CP06|CP09|CP10|CP12
ARG,Argentina,7,12,false,CP04|CP06|CP09|CP10|CP12
ARM,Armenia,7,12,false,CP04|CP06|CP09|CP10|CP12
ATG,Antigua and Barbuda,7,12,false,CP04|CP06|CP09|CP10|CP12
AUS,Australia,12,12,true,
AUT,Austria,12,12,true,
AZE,Azerbaijan,12,12,true,
BDI,Burundi,7,12,false,CP04|CP06|CP09|CP10|CP12
BEL,Belgium,12,12,true,
BEN,Benin,7,12,false,CP04|CP06|CP09|CP10|CP12
BFA,Burkina Faso,12,12,true,
BGD,Bangladesh,7,12,false,CP04|CP06|CP09|CP10|CP12
BGR,Bulgaria,12,12,true,
BHR,Bahrain,7,12,false,CP04|CP06|CP09|CP10|CP12
BIH,Bosnia and Herzegovina,12,12,true,
BLR,Belarus,11,12,false,CP02
BLZ,Belize,7,12,false,CP04|CP06|CP09|CP10|CP12
BMU,Bermuda,12,12,true,
BOL,Bolivia,7,12,false,CP04|CP06|CP09|CP10|CP12
BON,Bonaire,0,12,false,CP01|CP02|CP03|CP04|CP05|CP06|CP07|CP08|CP09|CP10|CP11|CP12
BRA,Brazil,7,12,false,CP04|CP06|CP09|CP10|CP12
BRN,Brunei Darussalam,7,12,false,CP04|CP06|CP09|CP10|CP12
BTN,Bhutan,12,12,true,
BWA,Botswana,7,12,false,CP04|CP06|CP09|CP10|CP12
CAF,Central African Republic,7,12,false,CP04|CP06|CP09|CP10|CP12
CAN,Canada,12,12,true,
CHE,Switzerland,12,12,true,
CHL,Chile,12,12,true,
CHN,China,7,12,false,CP04|CP06|CP09|CP10|CP12
CIV,Cote d'Ivoire,7,12,false,CP04|CP06|CP09|CP10|CP12
CMR,Cameroon,7,12,false,CP04|CP06|CP09|CP10|CP12
COD,"Congo, Dem. Rep.",7,12,false,CP04|CP06|CP09|CP10|CP12
COG,"Congo, Rep.",7,12,false,CP04|CP06|CP09|CP10|CP12
COL,Colombia,12,12,true,
COM,Comoros,7,12,false,CP04|CP06|CP09|CP10|CP12
CPV,Cabo Verde,7,12,false,CP04|CP06|CP09|CP10|CP12
CRI,Costa Rica,12,12,true,
CUW,Curacao,7,12,false,CP04|CP06|CP09|CP10|CP12
CYM,Cayman Islands,12,12,true,
CYP,Cyprus,12,12,true,
CZE,Czechia,12,12,true,
DEU,Germany,12,12,true,
DJI,Djibouti,7,12,false,CP04|CP06|CP09|CP10|CP12
DMA,Dominica,7,12,false,CP04|CP06|CP09|CP10|CP12
DNK,Denmark,12,12,true,
DOM,Dominican Republic,7,12,false,CP04|CP06|CP09|CP10|CP12
DZA,Algeria,7,12,false,CP04|CP06|CP09|CP10|CP12
ECU,Ecuador,7,12,false,CP04|CP06|CP09|CP10|CP12
EGY,"Egypt, Arab Rep.",7,12,false,CP04|CP06|CP09|CP10|CP12
ESP,Spain,12,12,true,
EST,Estonia,12,12,true,
ETH,Ethiopia,7,12,false,CP04|CP06|CP09|CP10|CP12
FIN,Finland,12,12,true,
FJI,Fiji,7,12,false,CP04|CP06|CP09|CP10|CP12
FRA,France,12,12,true,
GAB,Gabon,7,12,false,CP04|CP06|CP09|CP10|CP12
GBR,United Kingdom,12,12,true,
GEO,Georgia,7,12,false,CP04|CP06|CP09|CP10|CP12
GHA,Ghana,7,12,false,CP04|CP06|CP09|CP10|CP12
GIN,Guinea,7,12,false,CP04|CP06|CP09|CP10|CP12
GMB,"Gambia, The",7,12,false,CP04|CP06|CP09|CP10|CP12
GNB,Guinea-Bissau,7,12,false,CP04|CP06|CP09|CP10|CP12
GNQ,Equatorial Guinea,7,12,false,CP04|CP06|CP09|CP10|CP12
GRC,Greece,12,12,true,
GRD,Grenada,7,12,false,CP04|CP06|CP09|CP10|CP12
GTM,Guatemala,12,12,true,
GUY,Guyana,7,12,false,CP04|CP06|CP09|CP10|CP12
HKG,"Hong Kong SAR, China",12,12,true,
HND,Honduras,12,12,true,
HRV,Croatia,12,12,true,
HUN,Hungary,12,12,true,
IDN,Indonesia,7,12,false,CP04|CP06|CP09|CP10|CP12
IND,India,7,12,false,CP04|CP06|CP09|CP10|CP12
IRL,Ireland,12,12,true,
IRQ,Iraq,12,12,true,
ISL,Iceland,12,12,true,
ISR,Israel,12,12,true,
ITA,Italy,12,12,true,
JAM,Jamaica,7,12,false,CP04|CP06|CP09|CP10|CP12
JOR,Jordan,7,12,false,CP04|CP06|CP09|CP10|CP12
JPN,Japan,12,12,true,
KAZ,Kazakhstan,7,12,false,CP04|CP06|CP09|CP10|CP12
KEN,Kenya,12,12,true,
KGZ,Kyrgyz Republic,12,12,true,
KHM,Cambodia,7,12,false,CP04|CP06|CP09|CP10|CP12
KNA,St. Kitts and Nevis,7,12,false,CP04|CP06|CP09|CP10|CP12
KOR,"Korea, Rep.",12,12,true,
KWT,Kuwait,6,12,false,CP02|CP04|CP06|CP09|CP10|CP12
LAO,Lao PDR,7,12,false,CP04|CP06|CP09|CP10|CP12
LBN,Lebanon,7,12,false,CP04|CP06|CP09|CP10|CP12
LBR,Liberia,7,12,false,CP04|CP06|CP09|CP10|CP12
LCA,St. Lucia,7,12,false,CP04|CP06|CP09|CP10|CP12
LKA,Sri Lanka,7,12,false,CP04|CP06|CP09|CP10|CP12
LSO,Lesotho,7,12,false,CP04|CP06|CP09|CP10|CP12
LTU,Lithuania,12,12,true,
LUX,Luxembourg,12,12,true,
LVA,Latvia,12,12,true,
MAR,Morocco,7,12,false,CP04|CP06|CP09|CP10|CP12
MDA,Moldova,7,12,false,CP04|CP06|CP09|CP10|CP12
MDG,Madagascar,7,12,false,CP04|CP06|CP09|CP10|CP12
MDV,Maldives,7,12,false,CP04|CP06|CP09|CP10|CP12
MEX,Mexico,12,12,true,
MKD,North Macedonia,7,12,false,CP04|CP06|CP09|CP10|CP12
MLI,Mali,7,12,false,CP04|CP06|CP09|CP10|CP12
MLT,Malta,12,12,true,
MNE,Montenegro,12,12,true,
MNG,Mongolia,12,12,true,
MOZ,Mozambique,7,12,false,CP04|CP06|CP09|CP10|CP12
MRT,Mauritania,7,12,false,CP04|CP06|CP09|CP10|CP12
MSR,Montserrat,12,12,true,
MUS,Mauritius,7,12,false,CP04|CP06|CP09|CP10|CP12
MWI,Malawi,7,12,false,CP04|CP06|CP09|CP10|CP12
MYS,Malaysia,12,12,true,
NAM,Namibia,7,12,false,CP04|CP06|CP09|CP10|CP12
NER,Niger,7,12,false,CP04|CP06|CP09|CP10|CP12
NGA,Nigeria,7,12,false,CP04|CP06|CP09|CP10|CP12
NIC,Nicaragua,7,12,false,CP04|CP06|CP09|CP10|CP12
NLD,Netherlands,12,12,true,
NOR,Norway,12,12,true,
NPL,Nepal,7,12,false,CP04|CP06|CP09|CP10|CP12
NZL,New Zealand,12,12,true,
OMN,Oman,7,12,false,CP04|CP06|CP09|CP10|CP12
PAK,Pakistan,7,12,false,CP04|CP06|CP09|CP10|CP12
PAN,Panama,7,12,false,CP04|CP06|CP09|CP10|CP12
PER,Peru,7,12,false,CP04|CP06|CP09|CP10|CP12
PHL,Philippines,12,12,true,
POL,Poland,12,12,true,
PRT,Portugal,12,12,true,
PRY,Paraguay,7,12,false,CP04|CP06|CP09|CP10|CP12
PSE,West Bank and Gaza,7,12,false,CP04|CP06|CP09|CP10|CP12
QAT,Qatar,7,12,false,CP04|CP06|CP09|CP10|CP12
ROU,Romania,12,12,true,
RUT,Russian Federation,7,12,false,CP04|CP06|CP09|CP10|CP12
RWA,Rwanda,7,12,false,CP04|CP06|CP09|CP10|CP12
SAU,Saudi Arabia,6,12,false,CP02|CP04|CP06|CP09|CP10|CP12
SDN,Sudan,7,12,false,CP04|CP06|CP09|CP10|CP12
SEN,Senegal,7,12,false,CP04|CP06|CP09|CP10|CP12
SGP,Singapore,7,12,false,CP04|CP06|CP09|CP10|CP12
SLE,Sierra Leone,7,12,false,CP04|CP06|CP09|CP10|CP12
SLV,El Salvador,7,12,false,CP04|CP06|CP09|CP10|CP12
SOM,Somalia,7,12,false,CP04|CP06|CP09|CP10|CP12
SRB,Serbia,12,12,true,
SSD,South Sudan,7,12,false,CP04|CP06|CP09|CP10|CP12
STP,Sao Tome and Principe,7,12,false,CP04|CP06|CP09|CP10|CP12
SUR,Suriname,7,12,false,CP04|CP06|CP09|CP10|CP12
SVK,Slovak Republic,12,12,true,
SVN,Slovenia,12,12,true,
SWE,Sweden,12,12,true,
SWZ,Eswatini,12,12,true,
SYC,Seychelles,7,12,false,CP04|CP06|CP09|CP10|CP12
SYR,Syrian Arab Republic,7,12,false,CP04|CP06|CP09|CP10|CP12
TCD,Chad,7,12,false,CP04|CP06|CP09|CP10|CP12
TGO,Togo,7,12,false,CP04|CP06|CP09|CP10|CP12
THA,Thailand,7,12,false,CP04|CP06|CP09|CP10|CP12
TJK,Tajikistan,7,12,false,CP04|CP06|CP09|CP10|CP12
TTO,Trinidad and Tobago,7,12,false,CP04|CP06|CP09|CP10|CP12
TUN,Tunisia,7,12,false,CP04|CP06|CP09|CP10|CP12
TUR,Turkiye,12,12,true,
TWN,"Taiwan, China",7,12,false,CP04|CP06|CP09|CP10|CP12
TZA,Tanzania,7,12,false,CP04|CP06|CP09|CP10|CP12
UGA,Uganda,7,12,false,CP04|CP06|CP09|CP10|CP12
UKR,Ukraine,7,12,false,CP04|CP06|CP09|CP10|CP12
URY,Uruguay,7,12,false,CP04|CP06|CP09|CP10|CP12
USA,United States,12,12,true,
UZB,Uzbekistan,7,12,false,CP04|CP06|CP09|CP10|CP12
VCT,St. Vincent and the Grenadines,7,12,false,CP04|CP06|CP09|CP10|CP12
VGB,British Virgin Islands,7,12,false,CP04|CP06|CP09|CP10|CP12
VNM,Viet Nam,7,12,false,CP04|CP06|CP09|CP10|CP12
XKX,Kosovo,7,12,false,CP04|CP06|CP09|CP10|CP12
ZAF,South Africa,7,12,false,CP04|CP06|CP09|CP10|CP12
ZMB,Zambia,7,12,false,CP04|CP06|CP09|CP10|CP12
ZWE,Zimbabwe,7,12,false,CP04|CP06|CP09|CP10|CP12
